domain,ga_property_id,ga_stream_id,ga_measurement_id,ga_stream_url,ga_stream_name,gsc_site_url,gsc_enabled,is_active,label,site_type,site_tags,monetization,primary_goal,primary_conversion_event,secondary_conversion_events,launch_stage,content_platform,has_stripe,has_newsletter,has_auth
28kvideo.com,524242699,13592421007,G-CX1KMHSR2H,https://28kvideo.com,28kvideo.com,sc-domain:28kvideo.com,False,True,28kvideo.com,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
arcadianfiber.com,524230592,13592401981,G-ZE8CG3FZEP,https://arcadianfiber.com,arcadianfiber.com,sc-domain:arcadianfiber.com,False,True,arcadianfiber.com,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
blogcraft.app,524032309,13586193243,G-V1H5VJT1Q0,https://www.blogcraft.app,,sc-domain:blogcraft.app,False,True,BlogCraft,saas,saas_portfolio,subscription,trial_start,sign_up,purchase;begin_checkout;newsletter_signup,dev,nextjs,True,True,True
cyberthreatdefense.com,524255597,13592298600,G-RKJY56LERH,https://cyberthreatdefense.com,Cyber Threat Defense,sc-domain:cyberthreatdefense.com,False,True,Cyber Threat Defense,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
ddos.is,524227446,13592444584,G-2KEYMG0REP,https://ddos.is,ddos.is,sc-domain:ddos.is,False,True,ddos.is,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
devmaestro.io,524470505,13598346762,G-BFK8KYP1RT,https://devmaestro.io,devmaestro.io,sc-domain:devmaestro.io,False,True,devmaestro.io,saas,saas_portfolio,subscription,trial_start,sign_up,purchase;begin_checkout;newsletter_signup,dev,nextjs,True,True,True
diabetescompass.com,403594411,6025956621,G-KBDZFP515B,https://diabetescompass.com,diabetescompass.com,sc-domain:diabetescompass.com,False,True,diabetescompass.com,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
europeanwholesaleparts.com,524442735,13598252985,G-1J8Q56GN5E,https://europeanwholesaleparts.com,europeanwholesaleparts.com,sc-domain:europeanwholesaleparts.com,False,True,europeanwholesaleparts.com,retail,retail,retail,purchase,purchase,add_to_cart;begin_checkout;newsletter_signup,dev,nextjs,True,True,True
fiberinsider.com,388478802,5558868532,G-S4JR9HFRN5,https://www.fiberinsider.com,"Fiber Insider, Inc.",sc-domain:fiberinsider.com,False,True,"Fiber Insider, Inc.",content,standalone_blog,ads,newsletter_signup,newsletter_signup,outbound_click;generate_lead,soft_launch,nextjs,False,True,False
fightclubtech.com,436406639,7845353608,G-NHBRM1PXGM,https://www.fightclubtech.com,Fight Club Tech Website,sc-domain:fightclubtech.com,False,True,Fight Club Tech,leadgen,consultancy,services,lead,generate_lead,newsletter_signup;sign_up,soft_launch,nextjs,False,True,True
fightmybank.com,524442441,13598314607,G-4ZSJBQSE5M,https://fightmybank.com,fightmybank.com,sc-domain:fightmybank.com,False,True,fightmybank.com,community,community,none,sign_up,sign_up,newsletter_signup;generate_lead,dev,nextjs,False,True,True
findavibrator.com,377347721,5239685134,G-1DQQ84DLQY,https://findavibrator.com,findavibrator.com - GA4,sc-domain:findavibrator.com,False,True,findavibrator.com - GA4,content,affiliate,affiliate,outbound_click,outbound_click,newsletter_signup,dev,nextjs,False,False,False
flashbox.net,312583506,3471689334,G-GGQDXXZN6K,http://www.flashbox.net,Flashbox Networks - GA4,sc-domain:flashbox.net,False,True,Flashbox Networks - GA4,content,standalone,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
getaboyfriend.net,316469670,3584410419,G-N6K2DP05Y0,https://getaboyfriend.net,getaboyfriend.net,sc-domain:getaboyfriend.net,False,True,getaboyfriend.net,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
getloansfast.net,316467346,3584628936,G-FCP3H8DZ3W,https://getloansfast.net,getloansfast.net,sc-domain:getloansfast.net,False,True,getloansfast.net,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
homebeautyspa.com,370968637,5087889556,G-Z5DWT7VZ6P,https://homebeautyspa.com,homebeautyspa.com - GA4,sc-domain:homebeautyspa.com,False,True,homebeautyspa.com - GA4,content,content_network,none,seo_growth,newsletter_signup,outbound_click,soft_launch,nextjs,False,True,False
imagecrafter.app,516393662,13135391634,G-8S7WT5QD0L,https://www.imagecrafter.app,ImageCrafter.app,sc-domain:imagecrafter.app,False,True,ImageCrafter.app,saas,saas_portfolio,subscription,trial_start,sign_up,purchase;begin_checkout;newsletter_signup,dev,nextjs,True,True,True
isthisagoodjob.com,524027166,13585986315,G-PV2C3D3RHE,https://www.isthisagoodjob.com,Is This a Good Job?,sc-domain:isthisagoodjob.com,False,True,Is This a Good Job?,saas,saas_portfolio,subscription,purchase,purchase,sign_up;begin_checkout;newsletter_signup;generate_lead,live,nextjs,True,True,True
